Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
200982339,Under the Same Stars,Libba Bray,"Bray, Libba",,"=""0374388946""","=""9780374388942""",0,4.17,"Farrar, Straus and Giroux (BYR)",Hardcover,480,2025,2025,2025/03/29,2024/03/21,,,read,,,,1,0
205181098,The Thirteenth Child,Erin A. Craig,"Craig, Erin A.",,"=""0593482581""","=""9780593482582""",0,4.08,Delacorte Press,Hardcover,512,2024,2024,2025/03/03,2025/02/24,,,read,,,,1,0
211479192,Water Moon,Samantha Sotto Yambao,"Yambao, Samantha Sotto",,"=""0593724992""","=""9780593724996""",0,3.80,Del Rey,Hardcover,384,2025,2025,2025/02/24,2024/12/29,,,read,,,,1,0
203579027,"The Courting of Bristol Keats (The Courting of Bristol Keats, #1)",Mary E. Pearson,"Pearson, Mary E.",,"=""1250367573""","=""9781250367570""",0,3.70,Flatiron Books,Hardcover,547,2024,2024,,2025/02/18,to-read,to-read (#784),to-read,,,,0,0
124941442,"Sunbringer (Fallen Gods, #2)",Hannah Kaner,"Kaner, Hannah",,"=""0008521514""","=""9780008521516""",0,3.90,HarperVoyager,Hardcover,370,2024,2024,2025/02/17,2025/02/11,,,read,,,,1,0
221604746,The House Saphir,Marissa Meyer,"Meyer, Marissa",,"=""125032095X""","=""9781250320957""",0,4.56,Feiwel & Friends,Hardcover,432,2025,2025,,2025/02/16,to-read,to-read (#783),to-read,,,,0,0
195790628,"Witchlight (The Witchlands, #5)",Susan Dennard,"Dennard, Susan",,"=""1250194172""","=""9781250194176""",0,4.50,Tor Teen,Hardcover,464,2025,2025,,2025/02/16,to-read,to-read (#782),to-read,,,,0,0
222376570,Cinder House,Freya Marske,"Marske, Freya",,"=""125034171X""","=""9781250341716""",0,5.00,Tordotcom,Hardcover,144,2025,2025,,2025/02/16,to-read,to-read (#781),to-read,,,,0,0
217005439,When They Burned the Butterfly,Wen-yi Lee,"Lee, Wen-yi",,"=""""","=""""",0,3.94,Tor,Unknown Binding,,2025,2025,,2025/02/16,to-read,to-read (#780),to-read,,,,0,0
222376533,"Red City (The New Alchemists, #1)",Marie Lu,"Lu, Marie",,"=""1250885671""","=""9781250885678""",0,4.50,Tor Books,Hardcover,432,2025,2025,,2025/02/16,to-read,to-read (#779),to-read,,,,0,0
225653560,The Everlasting,Alix E. Harrow,"Harrow, Alix E.",,"=""1529061172""","=""9781529061178""",0,4.83,Tor,Hardcover,400,2025,2025,,2025/02/16,to-read,to-read (#778),to-read,,,,0,0
123161631,The Last Contract of Isako,Fonda Lee,"Lee, Fonda",,"=""0356526712""","=""9780356526713""",0,5.00,Orbit,Hardcover,,2025,2025,,2025/02/16,to-read,to-read (#777),to-read,,,,0,0
222706197,Alchemy of Secrets,Stephanie Garber,"Garber, Stephanie",,"=""125078915X""","=""9781250789150""",0,4.67,Flatiron Books,Hardcover,336,2025,2025,,2025/02/16,to-read,to-read (#776),to-read,,,,0,0
222376601,Spread Me,Sarah Gailey,"Gailey, Sarah",,"=""1250387337""","=""9781250387332""",0,4.11,Tor Nightfire,Hardcover,208,2025,2025,,2025/02/16,to-read,to-read (#775),to-read,,,,0,0
222419258,A Land So Wide,Erin A. Craig,"Craig, Erin A.",,"=""0593686802""","=""9780593686805""",0,4.13,Pantheon,Hardcover,368,2025,2025,,2025/02/16,to-read,to-read (#774),to-read,,,,0,0
222361609,Wild ​Reverence,Rebecca   Ross,"Ross, Rebecca",,"=""1250373360""","=""9781250373366""",0,4.68,Saturday Books,Kindle Edition,,2025,2025,,2025/02/16,to-read,to-read (#773),to-read,,,,0,0
217387866,The Executioners Three,Susan Dennard,"Dennard, Susan",,"=""1250334667""","=""9781250334664""",0,4.43,Tor Teen,Hardcover,304,2025,2025,,2025/02/16,to-read,to-read (#772),to-read,,,,0,0
217388302,Hemlock & Silver,T. Kingfisher,"Kingfisher, T.",,"=""1250342031""","=""9781250342034""",0,4.28,Tor Books,Hardcover,368,2025,2025,,2025/02/16,to-read,to-read (#771),to-read,,,,0,0
220756054,The Possession of Alba Díaz,Isabel Cañas,"Cañas, Isabel",,"=""""","=""""",0,4.48,Pen­guin Random House/Berkley,Hardcover,,2025,2025,,2025/02/16,to-read,to-read (#770),to-read,,,,0,0
217643704,A Treachery of Swans,A.B. Poranek,"Poranek, A.B.",,"=""""","=""""",0,4.15,Margaret K. McElderry Books,Hardcover,352,2025,2025,,2025/02/16,to-read,to-read (#769),to-read,,,,0,0
220458657,The Bewitching,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0593874323""","=""9780593874325""",0,4.33,Del Rey,Hardcover,368,2025,2025,,2025/02/16,to-read,to-read (#768),to-read,,,,0,0
220214954,"The Mercy Makers (The Moon Heresies, #1)",Tessa  Gratton,"Gratton, Tessa",,"=""""","=""""",0,3.80,Orbit,Kindle Edition,555,2025,2025,,2025/02/16,to-read,to-read (#767),to-read,,,,0,0
216488999,The Incandescent,Emily  Tesh,"Tesh, Emily",,"=""0356525643""","=""9780356525648""",0,4.19,Orbit,Hardcover,368,2025,2025,,2025/02/16,to-read,to-read (#766),to-read,,,,0,0
216247464,"The Geographer's Map to Romance (Love's Academic, #2)",India Holton,"Holton, India",,"=""0593641477""","=""9780593641477""",0,4.09,Berkley,Paperback,368,2025,2025,,2025/02/16,to-read,to-read (#765),to-read,,,,0,0
215149209,"The Floating World (The Floating World, #1)",Axie Oh,"Oh, Axie",,"=""1250853087""","=""9781250853080""",0,4.11,Feiwel & Friends,Hardcover,368,2025,2025,,2025/02/16,to-read,to-read (#764),to-read,,,,0,0
214537790,The Antidote,Karen Russell,"Russell, Karen",,"=""059380225X""","=""9780593802250""",0,4.02,Knopf,Hardcover,432,2025,2025,,2025/02/16,to-read,to-read (#763),to-read,,,,0,0
208840779,What Wakes the Bells,Elle Tesch,"Tesch, Elle",,"=""1250322804""","=""9781250322807""",0,3.57,Feiwel & Friends,Hardcover,336,2025,2025,,2025/02/16,to-read,to-read (#762),to-read,,,,0,0
212808709,Deep End,Ali Hazelwood,"Hazelwood, Ali",,"=""""","=""""",0,3.94,Berkley,Kindle Edition,464,2025,2025,,2025/02/16,to-read,to-read (#761),to-read,,,,0,0
214175189,"The Forest King's Daughter (Thirstwood, #1)",Elly Blake,"Blake, Elly",,"=""0316395722""","=""9780316395724""",0,3.62,"Little, Brown Books for Young Readers",Hardcover,384,2025,2025,,2025/02/16,to-read,to-read (#760),to-read,,,,0,0
215960976,"Faithbreaker (Fallen Gods, #3)",Hannah Kaner,"Kaner, Hannah",,"=""0008521581""","=""9780008521585""",0,4.18,HarperVoyager,Kindle Edition,415,2025,2025,,2025/02/11,to-read,to-read (#759),to-read,,,,0,0
